weight_scheme,recommendation_type,t_opt,N_max,ASN_w,U_w
equal,sample_saving,25,50,43.130885676793206,0.7282583996646002
equal,balanced,200,800,393.3277610424072,0.3384570869778877
equal,low_undecided,1600,3200,1035.5164520675278,0.17459872281721636
near_threshold,sample_saving,25,50,46.73323996781519,0.8686884967410079
near_threshold,balanced,200,800,582.5874965989328,0.5882186556022472
near_threshold,low_undecided,800,3200,1670.801389029022,0.344811466692115
far_threshold,sample_saving,25,50,38.951323335467215,0.5687837374165928
far_threshold,balanced,100,400,146.32512602942867,0.18642339138116745
far_threshold,low_undecided,1600,3200,454.4163958758483,0.046990274423514805
