t_opt,N_max,p,ASN,P50,P90,P_accept,P_reject,P_undecided,mass_residual,status
25,50,0.01,49.38888275999029,49,50,0.6111172395328651,1.308133166772889e-11,0.3888827604540532,4.440892098500626e-16,SUCCESS_EXACT
25,50,0.03,49.77518855746358,50,50,0.2248096653066056,5.891831792799296e-08,0.775190275775075,1.4432899320127035e-15,SUCCESS_EXACT
25,50,0.05,49.91890320278926,50,50,0.08099471081759278,4.189620827211177e-06,0.9190010995615778,2.220446049250313e-15,SUCCESS_EXACT
25,50,0.07,49.969904152976234,50,50,0.028553837205777133,7.688060951940014e-05,0.9713692821847009,2.55351295663786e-15,SUCCESS_EXACT
25,50,0.08,49.978685200600324,50,50,0.01681138677374294,0.0002432207367981099,0.9829453924894607,1.7763568394002505e-15,SUCCESS_EXACT
25,50,0.09,49.9786904800185,50,50,0.00984075056308297,0.0006624557973272548,0.9894967936395911,1.3322676295501878e-15,SUCCESS_EXACT
25,50,0.1,49.96815914421356,50,50,0.005726416897022355,0.001593668639565667,0.9926799144634136,1.5543122344752192e-15,SUCCESS_EXACT
25,50,0.11,49.942533123790085,50,50,0.0033121525075899055,0.0034527898599798603,0.993235057632431,8.881784197001252e-16,SUCCESS_EXACT
25,50,0.12,49.89436928063983,50,50,0.0019039298172423863,0.006840410647065058,0.9912556595356927,2.220446049250313e-16,SUCCESS_EXACT
25,50,0.13,49.81337238997622,50,50,0.0010875353396039601,0.012543428528383917,0.986369036132012,1.1102230246251565e-16,SUCCESS_EXACT
25,50,0.15,49.499501808298845,50,50,0.00034795842789729273,0.03473522512084927,0.9649168164512519,1.5543122344752192e-15,SUCCESS_EXACT
25,50,0.2,47.13484810798364,50,50,1.784059615882454e-05,0.19289856214104292,0.8070835972628011,2.886579864025407e-15,SUCCESS_EXACT
25,50,0.3,34.6175644755399,35,50,2.5692357752105807e-08,0.7713568420274973,0.22864313228014332,1.5543122344752192e-15,SUCCESS_EXACT
25,100,0.01,59.46405617317424,49,85,0.9525027957501867,1.3081482046105037e-11,0.04749720423673124,5.551115123125783e-16,SUCCESS_EXACT
25,100,0.03,80.15270281326619,85,100,0.5671478690209666,5.941378749746334e-08,0.4328520715652437,2.220446049250313e-15,SUCCESS_EXACT
25,100,0.05,92.22783097213568,100,100,0.23440385556968918,4.625043610361997e-06,0.7655915193866963,4.107825191113079e-15,SUCCESS_EXACT
25,100,0.07,97.31360037301113,100,100,0.08007891726029923,0.00010848411755456626,0.9198125986221405,5.773159728050814e-15,SUCCESS_EXACT
25,100,0.08,98.45155290103898,100,100,0.044814754416882235,0.000402670070832141,0.9547825755122894,3.774758283725532e-15,SUCCESS_EXACT
25,100,0.09,99.08013412663034,100,100,0.024589102348423656,0.001288491184049057,0.9741224064675299,2.6645352591003757e-15,SUCCESS_EXACT
25,100,0.1,99.36488757732987,100,100,0.013293763612387485,0.0035955151271722806,0.983110721260443,2.6645352591003757e-15,SUCCESS_EXACT
25,100,0.11,99.37452632940649,100,100,0.007109817222289673,0.008843817054619153,0.9840463657230928,1.5543122344752192e-15,SUCCESS_EXACT
25,100,0.12,99.10290536301945,100,100,0.003773538236911681,0.01938484954820648,0.9768416122148821,2.220446049250313e-16,SUCCESS_EXACT
25,100,0.13,98.48974876451435,100,100,0.0019925137724063338,0.038278657208488345,0.9597288290191052,1.1102230246251565e-16,SUCCESS_EXACT
25,100,0.15,95.8653982811027,100,100,0.0005508667684341579,0.113709891511214,0.8857392417203493,2.4424906541753444e-15,SUCCESS_EXACT
25,100,0.2,78.93350712763032,95,100,2.1752613263144132e-05,0.5294492130716386,0.47052903431510285,4.440892098500626e-15,SUCCESS_EXACT
25,100,0.3,38.50448924601319,35,66,2.6333739194770113e-08,0.9889099004271369,0.011090073239122122,1.7763568394002505e-15,SUCCESS_EXACT
25,200,0.01,59.88420839740539,49,85,0.9999823671350092,1.3081482046105037e-11,1.7632851908692085e-05,5.551115123125783e-16,SUCCESS_EXACT
25,200,0.03,96.31839457626454,85,163,0.9540767176792873,5.9415166002274707e-08,0.04592322290554381,2.886579864025407e-15,SUCCESS_EXACT
25,200,0.05,147.2163365083756,163,200,0.6044199183180372,4.6473998964344375e-06,0.3955754342820598,6.439293542825908e-15,SUCCESS_EXACT
25,200,0.07,181.6320786356282,200,200,0.21650484256654728,0.00011754508016076946,0.7833776123532816,1.0325074129013956e-14,SUCCESS_EXACT
25,200,0.08,190.11918418047492,200,200,0.11115959675020129,0.0004876007910755161,0.8883528024587307,7.549516567451064e-15,SUCCESS_EXACT
25,200,0.09,194.72385292872264,200,200,0.05371556101265995,0.0018355838577597617,0.9444488551295857,5.329070518200751e-15,SUCCESS_EXACT
25,200,0.1,196.79272254712086,200,200,0.025131151595533596,0.0061639905921989065,0.9687048578122729,5.329070518200751e-15,SUCCESS_EXACT
25,200,0.11,196.9987920836615,200,200,0.011653783292915049,0.01802987097128384,0.9703163457358042,3.1086244689504383e-15,SUCCESS_EXACT
25,200,0.12,195.36389424279645,200,200,0.0054474346682846266,0.04532324553486709,0.9492293197968487,4.440892098500626e-16,SUCCESS_EXACT
