type,t_opt,N_max,first_accept_all_good,status,ASN_w[equal],U_w[equal],ASN_w[near_threshold],U_w[near_threshold],ASN_w[far_threshold],U_w[far_threshold]
sample_saving,25,50,27,SUCCESS_EXACT,43.130885676793206,0.7282583996646002,46.73323996781519,0.8686884967410079,38.951323335467215,0.5687837374165928
balanced,200,800,49,SUCCESS_EXACT,393.3277610424072,0.3384570869778877,582.5874965989328,0.5882186556022472,212.28294451330515,0.12009142330671832
low_undecided,1600,3200,114,SUCCESS_EXACT,1035.5164520675278,0.17459872281721636,1724.7974133712555,0.34494755339401156,454.4163958758483,0.046990274423514805
